BOROUGH,Job Type,Residential,Permit Status,Issuance Date,NTA_NAME
BROOKLYN,NB,YES,ISSUED,05/09/2025,East New York (Pennsylvania Ave)
BROOKLYN,NB,YES,ISSUED,05/09/2025,East New York (Pennsylvania Ave)
QUEENS,NB,YES,ISSUED,05/09/2025,Douglas Manor-Douglaston-Little Neck
BROOKLYN,NB,YES,ISSUED,05/09/2025,Park Slope-Gowanus
BROOKLYN,NB,YES,ISSUED,05/09/2025,Bath Beach
BRONX,NB,YES,ISSUED,05/09/2025,Norwood
QUEENS,NB,YES,ISSUED,05/08/2025,
BROOKLYN,NB,YES,ISSUED,05/08/2025,East Flatbush-Farragut
BRONX,NB,YES,ISSUED,05/08/2025,Bronxdale
BROOKLYN,NB,YES,ISSUED,05/08/2025,East Williamsburg
BROOKLYN,NB,YES,ISSUED,05/08/2025,Crown Heights North
BROOKLYN,NB,YES,ISSUED,05/08/2025,Crown Heights South
BROOKLYN,NB,YES,ISSUED,05/08/2025,Bedford
BROOKLYN,NB,YES,ISSUED,05/08/2025,East Flatbush-Farragut
BRONX,NB,YES,ISSUED,05/08/2025,Bronxdale
BRONX,NB,YES,ISSUED,05/08/2025,Bronxdale
BRONX,NB,YES,ISSUED,05/07/2025,East Tremont
BRONX,NB,YES,ISSUED,05/07/2025,East Tremont
BRONX,NB,YES,ISSUED,05/07/2025,East Tremont
STATEN ISLAND,NB,YES,ISSUED,05/07/2025,Stapleton-Rosebank
STATEN ISLAND,NB,YES,ISSUED,05/07/2025,Stapleton-Rosebank
QUEENS,NB,YES,ISSUED,05/06/2025,Hunters Point-Sunnyside-West Maspeth
BROOKLYN,NB,YES,ISSUED,05/06/2025,Prospect Lefferts Gardens-Wingate
BROOKLYN,NB,YES,ISSUED,05/06/2025,East New York
BRONX,NB,YES,ISSUED,05/06/2025,Melrose South-Mott Haven North
BRONX,NB,YES,ISSUED,05/06/2025,Melrose South-Mott Haven North
BRONX,NB,YES,ISSUED,05/06/2025,Melrose South-Mott Haven North
BROOKLYN,NB,YES,ISSUED,05/06/2025,East Williamsburg
BROOKLYN,NB,YES,ISSUED,05/06/2025,East Williamsburg
BROOKLYN,NB,YES,ISSUED,05/06/2025,East Williamsburg
BROOKLYN,NB,YES,ISSUED,05/05/2025,Dyker Heights
BROOKLYN,NB,YES,ISSUED,05/05/2025,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
BROOKLYN,NB,YES,ISSUED,05/05/2025,Erasmus
STATEN ISLAND,NB,YES,ISSUED,05/05/2025,Charleston-Richmond Valley-Tottenville
STATEN ISLAND,NB,YES,ISSUED,05/05/2025,Charleston-Richmond Valley-Tottenville
MANHATTAN,NB,YES,ISSUED,05/05/2025,Washington Heights North
QUEENS,NB,YES,ISSUED,05/05/2025,Kew Gardens
QUEENS,NB,YES,ISSUED,05/05/2025,Elmhurst-Maspeth
QUEENS,NB,YES,ISSUED,05/05/2025,Elmhurst-Maspeth
QUEENS,NB,YES,ISSUED,05/05/2025,Elmhurst-Maspeth
BROOKLYN,NB,YES,ISSUED,05/05/2025,East Williamsburg
BROOKLYN,NB,YES,ISSUED,05/05/2025,East Williamsburg
BROOKLYN,NB,YES,ISSUED,05/05/2025,East Williamsburg
BROOKLYN,NB,YES,ISSUED,05/05/2025,East Williamsburg
BROOKLYN,NB,YES,ISSUED,05/02/2025,Park Slope-Gowanus
BROOKLYN,NB,YES,ISSUED,05/02/2025,Carroll Gardens-Columbia Street-Red Hook
QUEENS,NB,YES,ISSUED,05/02/2025,Kew Gardens Hills
BRONX,NB,YES,ISSUED,05/02/2025,Van Cortlandt Village
BRONX,NB,YES,ISSUED,05/02/2025,Allerton-Pelham Gardens
BROOKLYN,NB,YES,ISSUED,05/02/2025,Brownsville
QUEENS,NB,YES,ISSUED,05/02/2025,Old Astoria
BROOKLYN,NB,YES,ISSUED,05/01/2025,Canarsie
BROOKLYN,NB,YES,ISSUED,05/01/2025,East Flatbush-Farragut
